lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd
390,Joan Snyder,Mom's Just Out There Tryin’ to Break That Grid,80000,120000,179200
391,Jean Dubuﬀet,Le Soulier,120000,180000,243200
392,Willem de Kooning,Women in Water,400000,600000,537600
393,James Rosenquist,Ladies and Flowers,400000,600000,Bidding is closed
394,Tom Wesselmann,Final Study for Nude Lithograph,150000,250000,588800
395,Fernando Botero,The Picnic,300000,500000,768000
396,Julio Larraz,The Flying Dutchman,90000,120000,128000
397,Fernando Botero,Variaciones sobre Cézanne,450000,650000,704000
398,Fernando Botero,Bird,250000,350000,640000
399,Roy Lichtenstein,Modern Painting with Ionic Column (Study),300000,500000,230400
400,Alexander Calder,Untitled,50000,70000,121600
401,Robert Indiana,Yield Brother Samuel,100000,150000,Bidding is closed
402,Frank Stella,River of Ponds IV,60000,80000,179200
403,Richard Pettibone,"Frank Stella, 'Harran III,' 1967",40000,60000,76800
404,Richard Pettibone,"Frank Stella, 'Tomlinson Court Park,' 1959",40000,60000,44800
405,Piero Dorazio,Un bel niente,100000,150000,128000
407,Gego,Sin título,100000,150000,89600
408,León Ferrari,Sin título,250000,350000,256000
409,Carlos Cruz-Diez,Physichromie No. 666,70000,90000,153600
410,Carlos Cruz-Diez,Cromointerferencia espacial 34,180000,280000,358400
411,James Turrell,Coconino,300000,400000,537600
412,John McCracken,Red Column,100000,150000,Bidding is closed
413,Mary Corse,Untitled (Black Light Painting),80000,120000,76800
414,Larry Bell,Untitled,100000,150000,384000
415,Sergio Camargo,Untitled (#456),80000,120000,Bidding is closed
416,Gerd Leufert,Zygir,40000,60000,51200
417,Hélio Oiticica,Metaesquema 193,100000,150000,102400
418,Hélio Oiticica,Untitled (Metaesquema),80000,120000,166400
419,Norman Lewis,Enchancement,200000,300000,179200
420,Romare Bearden,Poor Thirsty Souls,30000,50000,53760
421,Elizabeth Catlett,Sharecropper,2000,3000,15360
422,William Bailey,Rome - Large Still Life,50000,70000,96000
423,"Archibald J. Motley, Jr.",Calle Del Padre,40000,60000,44800
424,Alice Neel,Snow Scene,200000,300000,192000
425,Tomás Sánchez,Dos aguas,120000,180000,243200
426,Wolf Kahn,Pond and Hill,30000,50000,38400
427,Wolf Kahn,Weedy Barn with Gas Tank and Empty Farmhouse,25000,35000,40960
428,Julio Larraz,Widow's Walk,30000,50000,44800
429,Oswaldo Vigas,Untitled,15000,20000,25600
430,Larry Rivers,Last Civil War Veteran (Original for the Print),20000,30000,12800
431,Ray Johnson,Untitled (Moticos Panel with Harlo),4000,6000,2816
432,Annette Lemieux,Walking on Water,3000,5000,3200
433,Barbara Bloom,Headache,2000,3000,1024
434,Anne Collier,Double Exposure,500,700,896
435,Hélène Jacubowitz,Etreinte,800,1200,4480
436,Donna Rosenthal,He said...She said,800,1200,4480
437,Fernando de Szyszlo,Ronda nocturna,40000,60000,Bidding is closed
438,Rafael Soriano,En pos del abismo,20000,30000,25600
439,Alejandro Obregón,Tigre persiguiendo un colibrí,30000,50000,76800
440,Zilia Sánchez,Sin título,20000,30000,19200
441,Fritz Koenig,Gerahmte Figuren,20000,30000,89600
442,Esteban Vicente,Untitled,8000,12000,96000
443,Esteban Vicente,Collage,8000,12000,83200
444,Conrad Marca-Relli,Untitled,5000,7000,5760
445,Conrad Marca-Relli,Untitled,5000,7000,5760
446,Kazuya Sakai,Verushka,15000,20000,19200
447,Leon Polk Smith,Correspondence Mauve-Scarlet,30000,50000,53760
448,Mercedes Pardo,Untitled,35000,45000,70400
501,Keith Haring,Untitled,5000,7000,19200
502,Keith Haring,Untitled,300000,400000,256000
503,Keith Haring,Untitled,80000,120000,192000
504,Keith Haring,Untitled,150000,200000,281600
505,Keith Haring,The Blueprint Drawings [17 works],300000,500000,486400
506,Keith Haring,Untitled,250000,350000,192000
507,Keith Haring,Untitled,150000,200000,448000
508,Keith Haring,Untitled,600000,800000,832000
509,Keith Haring,Untitled,120000,180000,153600
510,Keith Haring,Untitled,100000,150000,358400
511,Keith Haring,Untitled,250000,350000,435200
512,Keith Haring,Untitled,250000,350000,345600
513,Keith Haring,Untitled,200000,300000,793600
514,Keith Haring,Untitled,70000,100000,38400
515,Keith Haring,Untitled,200000,300000,217600
516,Keith Haring,Untitled,250000,350000,192000
517,Keith Haring,Untitled,50000,70000,61440
518,Keith Haring,Untitled,80000,120000,115200
519,Keith Haring,Untitled (Painted Man),40000,60000,96000
601,John C. Kacere,Untitled,12000,18000,57600
602,Sanya Kantarovsky,Spleen,80000,120000,204800
603,Graham Little,Untitled (Boutique),10000,15000,44800
604,Antonio Obá,Herói do fogo interior II - A façanha,80000,120000,204800
605,Maki Na Kamura,Ed VII,40000,60000,35840
606,Florian Krewer,Untitled,30000,40000,Bidding is closed
607,Ernst Yohji Jäger,o.T.,30000,40000,38400
608,Mike Kelley,City 13,70000,100000,128000
609,Olga de Amaral,Cesta lunar 41,600000,800000,742400
610,Rachel Jones,A Sliced Tooth,250000,350000,384000
611,Yu Nishimura,look into,60000,80000,140800
612,Matthew Wong,Ruins,400000,600000,384000
613,Yoshitomo Nara,No. 1,100000,150000,307200
614,Yoshitomo Nara,No. 2,100000,150000,281600
615,Yoshitomo Nara,No. 3,100000,150000,307200
