lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd,midpoint,norm_position,sold_over_mid,log_sold_over_mid
E28,Vincent Van Gogh,La Moisson en Provence,25000000,35000000,29430000,30000000.0,0.443,0.981,-0.0192
E29,Claude Monet,La Falaise d’Amont,5000000,7000000,6037000,6000000.0,0.5185,1.0062,0.0061
E30,Pierre-Auguste Renoir,Baigneuse assise sur un rocher,8000000,12000000,8660000,10000000.0,0.165,0.866,-0.1439
E31,Henri Matisse,Madeleine II,2500000,3500000,3170000,3000000.0,0.67,1.0567,0.0551
E32,Edgar Degas,Femme à sa toilette,5000000,7000000,4268000,6000000.0,-0.366,0.7113,-0.3406
E33,Georgia O'Keeffe,Pink Camellia,2000000,3000000,2560000,2500000.0,0.56,1.024,0.0237
E34,Leonor Fini,Portrait de Alida Valli II,700000,1000000,1152000,850000.0,1.5067,1.3553,0.304
E35,Leonora Carrington,El retorno de la osa mayor,1000000,1500000,1662000,1250000.0,1.324,1.3296,0.2849
E36,Óscar Domínguez,Le Printemps (Composition lithochronique),1000000,1500000,1408000,1250000.0,0.816,1.1264,0.119
E37,Pablo Picasso,Le Petit déjeuner,5000000,7000000,5510000,6000000.0,0.255,0.9183,-0.0852
E39,René Magritte,Le Voleur,2800000,3500000,3780000,3150000.0,1.4,1.2,0.1823
E40,Alberto Giacometti,Annette d'après nature,5000000,7000000,8050000,6000000.0,1.525,1.3417,0.2939
E41,Egon Schiele,Frauenbildnis mit Blauem und Grünem Halstuch (Portrait of a Woman with Blue and Green Scarf),1000000,1500000,1920000,1250000.0,1.84,1.536,0.4292
E42,Max Beckmann,"Frau nackt, Haare kämmend (auf Rot und Rosa) (Nude Woman, Combing Her Hair (in Red and Pink))",800000,1200000,768000,1000000.0,-0.08,0.768,-0.264
E43,Pablo Picasso,Tête de femme,5000000,7000000,5488000,6000000.0,0.244,0.9147,-0.0892
E44,Joan Miró,Peinture,4000000,6000000,3536000,5000000.0,-0.232,0.7072,-0.3464
E45,Pablo Picasso,Tête de femme,1200000,1800000,1511000,1500000.0,0.5183,1.0073,0.0073
