lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd,midpoint,norm_position,sold_over_mid,log_sold_over_mid
347,Willem de Kooning,Five Women,600000,800000,640000,700000.0,0.2,0.9143,-0.0896
348,Franz Kline,Study for Untitled and Study for Sabro [Double-Sided Work],150000,200000,243200,175000.0,1.864,1.3897,0.3291
350,John Chamberlain,CONEYISLANDDORIC,120000,180000,281600,150000.0,2.6933,1.8773,0.6299
351,John Chamberlain,ZAPOTILLA BENDAY,120000,180000,192000,150000.0,1.2,1.28,0.2469
352,Adolph Gottlieb,Summer 1955-5,80000,120000,192000,100000.0,2.8,1.92,0.6523
353,George Rickey,"George Rickey, Orenary (Space Churn Theme)",50000,70000,40960,60000.0,-0.452,0.6827,-0.3817
354,Isamu Noguchi,Untitled,300000,400000,409600,350000.0,1.096,1.1703,0.1572
355,Alexander Calder,The Red Rocker,300000,400000,230400,350000.0,-0.696,0.6583,-0.4181
356,Willem de Kooning,Untitled,600000,800000,857600,700000.0,1.288,1.2251,0.2031
357,Sam Francis,Untitled,30000,40000,108800,35000.0,7.88,3.1086,1.1342
358,Helen Frankenthaler,Madame Butterfly,300000,500000,512000,400000.0,1.06,1.28,0.2469
359,Elaine de Kooning,Untitled,200000,300000,537600,250000.0,3.376,2.1504,0.7657
360,Lee Krasner,Nude Study from Life,40000,60000,166400,50000.0,6.32,3.328,1.2024
361,Jackson Pollock,Untitled,80000,120000,64000,100000.0,-0.4,0.64,-0.4463
362,Philip Guston,Untitled,400000,600000,320000,500000.0,-0.4,0.64,-0.4463
363,Roy Lichtenstein,Glass II,600000,800000,1600000,700000.0,5.0,2.2857,0.8267
364,Robert Rauschenberg,Breakthrough I,50000,70000,38400,60000.0,-0.58,0.64,-0.4463
365,Alex Katz,Black and White 2,20000,30000,96000,25000.0,7.6,3.84,1.3455
366,Alex Katz,Study for Vincent,40000,60000,61440,50000.0,1.072,1.2288,0.206
367,Mark Tobey,Introductions,300000,500000,256000,400000.0,-0.22,0.64,-0.4463
368,Richard Serra,Untitled,100000,150000,179200,125000.0,1.584,1.4336,0.3602
369,Sol LeWitt,8 Part Cube,20000,30000,48640,25000.0,2.864,1.9456,0.6656
370,Robert Motherwell,Drawing,20000,30000,57600,25000.0,3.76,2.304,0.8346
371,Conrad Marca-Relli,Untitled,8000,12000,6400,10000.0,-0.4,0.64,-0.4463
372,David Smith,Untitled,8000,12000,9600,10000.0,0.4,0.96,-0.0408
373,Robert Bechtle,Athens Balcony,8000,12000,10880,10000.0,0.72,1.088,0.0843
374,Robert Bechtle,North Adams Studio III,8000,12000,10880,10000.0,0.72,1.088,0.0843
375,Tony Smith,Mistake,20000,30000,24320,25000.0,0.432,0.9728,-0.0276
376,Tony Smith,Untitled,6000,8000,15360,7000.0,4.68,2.1943,0.7859
377,Ilya Bolotowsky,Study for Golden Ground,5000,7000,28160,6000.0,11.58,4.6933,1.5461
378,Barry Flanagan,Stage Door Johnny,60000,80000,40960,70000.0,-0.952,0.5851,-0.5359
379,Helen Frankenthaler,Missing Persons Report,600000,800000,576000,700000.0,-0.12,0.8229,-0.195
380,Sam Francis,Untitled (Middle Blue),200000,300000,230400,250000.0,0.304,0.9216,-0.0816
381,Arshile Gorky,Untitled,300000,400000,384000,350000.0,0.84,1.0971,0.0927
384,Willem de Kooning,Woman,100000,150000,153600,125000.0,1.072,1.2288,0.206
385,Robert Motherwell,The African Plateau No. 2,400000,600000,256000,500000.0,-0.72,0.512,-0.6694
386,Manuel Felguérez,Sin título,30000,50000,38400,40000.0,0.42,0.96,-0.0408
387,Richard Diebenkorn,Untitled (Berkeley),120000,180000,102400,150000.0,-0.2933,0.6827,-0.3817
388,Arshile Gorky,Untitled,40000,60000,53760,50000.0,0.688,1.0752,0.0725
389,Lynne Drexler,Untitled,40000,60000,48640,50000.0,0.432,0.9728,-0.0276
390,Joan Snyder,Mom's Just Out There Tryin’ to Break That Grid,80000,120000,179200,100000.0,2.48,1.792,0.5833
391,Jean Dubuﬀet,Le Soulier,120000,180000,243200,150000.0,2.0533,1.6213,0.4832
392,Willem de Kooning,Women in Water,400000,600000,537600,500000.0,0.688,1.0752,0.0725
394,Tom Wesselmann,Final Study for Nude Lithograph,150000,250000,588800,200000.0,4.388,2.944,1.0798
395,Fernando Botero,The Picnic,300000,500000,768000,400000.0,2.34,1.92,0.6523
396,Julio Larraz,The Flying Dutchman,90000,120000,128000,105000.0,1.2667,1.219,0.1981
397,Fernando Botero,Variaciones sobre Cézanne,450000,650000,704000,550000.0,1.27,1.28,0.2469
398,Fernando Botero,Bird,250000,350000,640000,300000.0,3.9,2.1333,0.7577
399,Roy Lichtenstein,Modern Painting with Ionic Column (Study),300000,500000,230400,400000.0,-0.348,0.576,-0.5516
400,Alexander Calder,Untitled,50000,70000,121600,60000.0,3.58,2.0267,0.7064
402,Frank Stella,River of Ponds IV,60000,80000,179200,70000.0,5.96,2.56,0.94
403,Richard Pettibone,"Frank Stella, 'Harran III,' 1967",40000,60000,76800,50000.0,1.84,1.536,0.4292
404,Richard Pettibone,"Frank Stella, 'Tomlinson Court Park,' 1959",40000,60000,44800,50000.0,0.24,0.896,-0.1098
405,Piero Dorazio,Un bel niente,100000,150000,128000,125000.0,0.56,1.024,0.0237
407,Gego,Sin título,100000,150000,89600,125000.0,-0.208,0.7168,-0.333
408,León Ferrari,Sin título,250000,350000,256000,300000.0,0.06,0.8533,-0.1586
409,Carlos Cruz-Diez,Physichromie No. 666,70000,90000,153600,80000.0,4.18,1.92,0.6523
410,Carlos Cruz-Diez,Cromointerferencia espacial 34,180000,280000,358400,230000.0,1.784,1.5583,0.4436
411,James Turrell,Coconino,300000,400000,537600,350000.0,2.376,1.536,0.4292
413,Mary Corse,Untitled (Black Light Painting),80000,120000,76800,100000.0,-0.08,0.768,-0.264
414,Larry Bell,Untitled,100000,150000,384000,125000.0,5.68,3.072,1.1223
416,Gerd Leufert,Zygir,40000,60000,51200,50000.0,0.56,1.024,0.0237
417,Hélio Oiticica,Metaesquema 193,100000,150000,102400,125000.0,0.048,0.8192,-0.1994
418,Hélio Oiticica,Untitled (Metaesquema),80000,120000,166400,100000.0,2.16,1.664,0.5092
419,Norman Lewis,Enchancement,200000,300000,179200,250000.0,-0.208,0.7168,-0.333
420,Romare Bearden,Poor Thirsty Souls,30000,50000,53760,40000.0,1.188,1.344,0.2957
421,Elizabeth Catlett,Sharecropper,2000,3000,15360,2500.0,13.36,6.144,1.8155
422,William Bailey,Rome - Large Still Life,50000,70000,96000,60000.0,2.3,1.6,0.47
423,"Archibald J. Motley, Jr.",Calle Del Padre,40000,60000,44800,50000.0,0.24,0.896,-0.1098
424,Alice Neel,Snow Scene,200000,300000,192000,250000.0,-0.08,0.768,-0.264
425,Tomás Sánchez,Dos aguas,120000,180000,243200,150000.0,2.0533,1.6213,0.4832
426,Wolf Kahn,Pond and Hill,30000,50000,38400,40000.0,0.42,0.96,-0.0408
427,Wolf Kahn,Weedy Barn with Gas Tank and Empty Farmhouse,25000,35000,40960,30000.0,1.596,1.3653,0.3114
428,Julio Larraz,Widow's Walk,30000,50000,44800,40000.0,0.74,1.12,0.1133
429,Oswaldo Vigas,Untitled,15000,20000,25600,17500.0,2.12,1.4629,0.3804
430,Larry Rivers,Last Civil War Veteran (Original for the Print),20000,30000,12800,25000.0,-0.72,0.512,-0.6694
